id,name,account,password,phone,email,address,birthday,gender,created_at,birthday_month,pic,level_point,google_uid,shop_name,shop_site,shop_cover,shop_info,shop_valid,
13,邱佳琪,qiu.jq,202CB962AC59075B964B07152D234B70,0905678901,qiu.jq@email.com,雲林縣斗六市復興路 14 號,1994-12-18,Female,2022-01-18 20:07:35,12,,,,,,,,0,
14,余宗翰,yu.zh,202CB962AC59075B964B07152D234B70,0906789012,yu.zh@email.com,屏東縣屏東市中山路 22 號,1994-12-19,Male,2022-01-19 19:07:05,12,,,,,,,,0,
15,張雅琴,zhang.yq,202CB962AC59075B964B07152D234B70,0907890123,zhang.yq@email.com,南投縣南投市南崗路 11 號,1994-12-20,Female,2022-01-20 6:05:38,12,,,,,,,,0,
16,洪家瑋,hong.jw,202CB962AC59075B964B07152D234B70,0908901234,hong.jw@email.com,嘉義縣太保市中山路 9 號,1994-12-21,Male,2022-01-21 8:12:56,12,,,,,,,,0,
17,周思婷,zhou.st,202CB962AC59075B964B07152D234B70,0909012345,zhou.st@email.com,金門縣金城鎮民生路 7 號,1994-12-22,Female,2022-01-22 18:06:39,12,,,,,,,,0,
18,葉宗翰,ye.zh,202CB962AC59075B964B07152D234B70,0910123456,ye.zh@email.com,澎湖縣馬公市中正路 55 號,1994-12-23,Male,2022-01-23 17:05:05,12,,,,,,,,0,
19,彭佳玲,peng.jl,202CB962AC59075B964B07152D234B70,0911234567,peng.jl@email.com,新竹縣竹北市光明路 26 號,1994-12-24,Female,2022-01-24 7:15:09,12,,,,,,,,0,
20,許家豪,xu.jh,202CB962AC59075B964B07152D234B70,0912345678,xu.jh@email.com,基隆市信義區信義路 17 號,1994-12-25,Male,2022-01-25 12:24:07,12,,,,,,,,0,
21,鄭心怡,zhengxinyi,202CB962AC59075B964B07152D234B70,0923456789,zhengxinyi@email.com,台北市中正區忠孝東路一段100號,1992-08-15,Female,2023-01-11 15:15:28,8,,,,,,,,0,
22,許彥宇,xuyanyu,202CB962AC59075B964B07152D234B70,0912345676,xuyanyu@email.com,新北市板橋區文化路二段200號,1986-04-25,Male,2023-01-12 6:09:03,4,,,,,,,,0,
23,張雅琪,zhangyaqi,202CB962AC59075B964B07152D234B70,0934567890,zhangyaqi@email.com,台中市南區建國北路300號,1996-11-03,Female,2023-01-13 3:06:09,11,,,,,,,,0,
24,謝政宏,xiezhenghong,202CB962AC59075B964B07152D234B70,0956789011,xiezhenghong@email.com,高雄市楠梓區德民路四段400號,1983-02-12,Male,2023-01-14 7:42:08,2,,,,,,,,0,
25,林婷婷,lintingting,202CB962AC59075B964B07152D234B70,0930123456,lintingting@email.com,台南市中西區民權路五段500號,1989-07-28,Female,2023-01-15 8:52:49,7,,,,,,,,0,
26,葉志明,yezhiming,202CB962AC59075B964B07152D234B70,0967890123,yezhiming@email.com,彰化市彰化區和平路六段600號,1994-09-05,Male,2023-01-16 5:04:16,9,,,,,,,,0,
27,吳雅芬,wuyafen,202CB962AC59075B964B07152D234B70,0932345678,wuyafen@email.com,基隆市仁愛區中正路七段700號,1981-12-22,Female,2023-01-17 16:24:36,12,,,,,,,,0,
28,洪志偉,hongzhiwei,202CB962AC59075B964B07152D234B70,0918765432,hongzhiwei@email.com,新竹市東區民生路八段800號,1999-05-30,Male,2023-01-18 18:18:35,5,,,,,,,,0,
29,蔡雅琪,caiyaqi,202CB962AC59075B964B07152D234B70,0954321098,caiyaqi@email.com,嘉義市西區仁愛路九段900號,1988-08-25,Female,2023-01-19 10:22:48,8,,,,,,,,0,
30,陳俊宇,chenjunyu,202CB962AC59075B964B07152D234B70,0987654321,chenjunyu@email.com,屏東市林森路十段1000號,1992-03-14,Male,2023-01-11 13:01:05,3,,,,,,,,0,
